part_number,display_name,name_cn,quantity,material,object_category,is_standard_part,is_structural_part,source_pdf,evidence
MS21076L3N,密封定义2 密封说明,密封定义2 密封说明,,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,"密封定义2 密封说明  电搭接贴合面密封：凹陷垫圈NAS1169C10与复合材料零件的铜网贴合面、托板螺母
MS21076L3N（托板）与金属零件贴合面进行贴合面密封。   "
5536C14003G71,附注信息,附注信息,,,辅助梁,True,True,RPL5536C10000G26.pdf,"附注信息 EN1=P00000106|装配车间操作按CPS2000。|CPS2000
EN2=P00000896|纯金属结构的连接，高锁螺栓制孔方法按CPS2003，采用标准干涉配合。|CPS2003
EN3=P00000109|金属零件的制孔按CPS2010。|CPS2010
EN4=P00000110|复合材料制件的制孔按CPS2011。|CPS2011
EN5=P00000130|高锁螺栓的安装按CPS2112。|CPS2112
EN6=P00001473|实心铆钉铆接程序按CPS2100。Riveting process for the solid rivets refer to CPS2100.|CPS2100
EN7=P00000143|复合材料结构的高锁螺栓和环槽钉的安装 按CPS2142。|CPS2142
EN8=P00000145|复合材料结构的螺栓和螺母安装按CPS2144。|CPS2144
EN9=NAS类螺栓与铆接托板螺母MS21076L3N组合连接的零件制孔范围为5.055mm至5.131mm，与铆接托板螺母
MS21076L08N组合连接的零件制孔范围为4."
CFBL1002AG6-3,钛合金抗剪型100度沉头高锁螺栓,钛合金抗剪型100度沉头高锁螺栓,38,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1002AG6-3  钛合金抗剪型100度沉头高锁螺栓  38  
CFBL1002AG6-4,钛合金抗剪型100度沉头高锁螺栓,钛合金抗剪型100度沉头高锁螺栓,233,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1002AG6-4  钛合金抗剪型100度沉头高锁螺栓  233  
CFBL1002AG6-5,钛合金抗剪型100度沉头高锁螺栓,钛合金抗剪型100度沉头高锁螺栓,295,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1002AG6-5  钛合金抗剪型100度沉头高锁螺栓  295  
CFBL1002AG6-6,钛合金抗剪型100度沉头高锁螺栓,钛合金抗剪型100度沉头高锁螺栓,77,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1002AG6-6  钛合金抗剪型100度沉头高锁螺栓  77  
CFBL1002AG6-7,钛合金抗剪型100度沉头高锁螺栓,钛合金抗剪型100度沉头高锁螺栓,114,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1002AG6-7  钛合金抗剪型100度沉头高锁螺栓  114  
CFBL1002AG6-8,钛合金抗剪型100度沉头高锁螺栓,钛合金抗剪型100度沉头高锁螺栓,118,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1002AG6-8  钛合金抗剪型100度沉头高锁螺栓  118  
CFBL1002AG6-9,钛合金抗剪型100度沉头高锁螺栓,钛合金抗剪型100度沉头高锁螺栓,16,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1002AG6-9  钛合金抗剪型100度沉头高锁螺栓  16  
CFBL1002AG8-9,钛合金抗剪型100度沉头高锁螺栓,钛合金抗剪型100度沉头高锁螺栓,8,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1002AG8-9  钛合金抗剪型100度沉头高锁螺栓  8  
CFBL1003AG5-3,钛合金抗拉型平头高锁螺栓,钛合金抗拉型平头高锁螺栓,10,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1003AG5-3  钛合金抗拉型平头高锁螺栓  10  
CFBL1003AG5-4,钛合金抗拉型平头高锁螺栓,钛合金抗拉型平头高锁螺栓,3,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1003AG5-4  钛合金抗拉型平头高锁螺栓  3  
CFBL1003AG6-2,钛合金抗拉型平头高锁螺栓,钛合金抗拉型平头高锁螺栓,86,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1003AG6-2  钛合金抗拉型平头高锁螺栓  86  
CFBL1003AG6-3,螺栓,螺栓,119,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1003AG6-3  螺栓  119  
CFBL1003AG6-4,钛合金抗拉型平头高锁螺栓,钛合金抗拉型平头高锁螺栓,90,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1003AG6-4  钛合金抗拉型平头高锁螺栓  90  
CFBL1003AG6-5,螺栓,螺栓,43,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1003AG6-5  螺栓  43  
CFBL1003AG6-6,螺栓,螺栓,40,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1003AG6-6  螺栓  40  
CFBL1003AG6-7,螺栓,螺栓,29,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFBL1003AG6-7  螺栓  29  
CFNT1001TB5,螺母,螺母,13,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFNT1001TB5  螺母  13  
CFNT1001TB6,螺母,螺母,407,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFNT1001TB6  螺母  407  
CFNT1003CY6,螺母,螺母,891,,标准件/紧固件,True,False,RPL5536C10000G26.pdf,CFNT1003CY6  螺母  891  
