sequence_index,task_id,task_name,process_id,process_name,operated_objects,operated_object_names,task_obb_center,required_resources,generation_rule,inference_explanation
1,Task_定位前缘组件_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,定位前缘组件_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_定位前缘组件,定位前缘组件,SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C12000G42 辅助梁组件,37.325832572;4.512482848;2.6817e-05,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
2,Task_定位前缘舱肋_Part_1_2_5536C10101G71_5536C10101G71_1,定位前缘舱肋_Part_1_2_5536C10101G71_5536C10101G71_1,PROC_定位前缘舱肋,定位前缘舱肋,Part_1_2_5536C10101G71_5536C10101G71_1,5536C10101G71 1号肋,35.697814671;2.086969978;0.04419017,定位器;前缘舱肋夹紧器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
3,Task_定位前缘舱肋_Part_1_4_5536C10105G71_5536C10105G71_1,定位前缘舱肋_Part_1_4_5536C10105G71_5536C10105G71_1,PROC_定位前缘舱肋,定位前缘舱肋,Part_1_4_5536C10105G71_5536C10105G71_1,5536C10105G71 1号肋,35.728378361;2.091238905;-0.205539819,定位器;前缘舱肋夹紧器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
4,Task_定位前缘舱肋_Part_1_6_5536C10211G71_5536C10211G71_1,定位前缘舱肋_Part_1_6_5536C10211G71_5536C10211G71_1,PROC_定位前缘舱肋,定位前缘舱肋,Part_1_6_5536C10211G71_5536C10211G71_1,5536C10211G71 2号肋,36.154609192;2.536988605;-0.005332174,定位器;前缘舱肋夹紧器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
5,Task_定位前缘舱肋_Part_1_10_5536C10311G72_5536C10311G72_1,定位前缘舱肋_Part_1_10_5536C10311G72_5536C10311G72_1,PROC_定位前缘舱肋,定位前缘舱肋,Part_1_10_5536C10311G72_5536C10311G72_1,5536C10311G72 3号肋,37.042670883;3.689392489;-0.00104798,定位器;前缘舱肋夹紧器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
6,Task_定位前缘舱肋_Part_1_14_5536C10411G72_5536C10411G72_1,定位前缘舱肋_Part_1_14_5536C10411G72_5536C10411G72_1,PROC_定位前缘舱肋,定位前缘舱肋,Part_1_14_5536C10411G72_5536C10411G72_1,5536C10411G72 4号肋,37.873853502;4.809820239;-0.000501518,定位器;前缘舱肋夹紧器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
7,Task_定位前缘舱肋_Part_1_18_5536C10511G72_5536C10511G72_1,定位前缘舱肋_Part_1_18_5536C10511G72_5536C10511G72_1,PROC_定位前缘舱肋,定位前缘舱肋,Part_1_18_5536C10511G72_5536C10511G72_1,5536C10511G72 5号肋,38.505694979;5.639077994;-5.103e-06,定位器;前缘舱肋夹紧器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
8,Task_定位前缘舱肋_Part_1_22_5536C10611G72_5536C10611G72_1,定位前缘舱肋_Part_1_22_5536C10611G72_5536C10611G72_1,PROC_定位前缘舱肋,定位前缘舱肋,Part_1_22_5536C10611G72_5536C10611G72_1,5536C10611G72 6号肋,39.356142051;6.767180221;-2.878e-06,定位器;前缘舱肋夹紧器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
9,Task_手工定位角材_Part_1_5_5536C10203G71_5536C10203G71_1,手工定位角材_Part_1_5_5536C10203G71_5536C10203G71_1,PROC_手工定位角材,手工定位角材,Part_1_5_5536C10203G71_5536C10203G71_1,5536C10203G71 2号肋角材,36.388867864;2.365513808;0.0,定位器,object_requireProcess_positioning,对象存在 requireProcess 定位类工艺，因此生成定位任务。
10,Task_定位连接带板_Part_1_34_5536C14001G71_5536C14001G70_1,定位连接带板_Part_1_34_5536C14001G71_5536C14001G70_1,PROC_手工定位角材,手工定位角材,Part_1_34_5536C14001G71_5536C14001G70_1,5536C14001G71 1号连接带板,36.213468116;2.258457839;0.249574559,定位器,object_requireProcess_connection_belt_positioning,连接带板属于支撑件，随角材/支撑件定位阶段定位，因此生成定位连接带板任务。
