algorithm,run,initial_best_fitness,initial_avg_fitness,total_crossover_count,guided_crossover_count,total_mutation_count,guided_mutation_count,bad_position_detect_count,connect_query_count,obb_query_count,mayinterfere_query_count,resource_query_count,repair_count,repair_changed_count,guided_accept_count,guided_reject_count,prescreen_count,prescreen_reject_count,direct_guide_attempt_count,direct_guide_accept_count,direct_guide_illegal_reject_count,connect_candidate_count,obb_fallback_count,constraint_mutation_attempt_count,constraint_mutation_accept_count,constraint_mutation_shift_count,constraint_mutation_reject_count,no_repair_crossover_retry_count,no_repair_illegal_child_count,no_repair_valid_child_count,no_repair_local_reject_count,geometry_valid_initial_count,geometry_invalid_initial_count,geometry_valid_child_count,geometry_invalid_child_count,geometry_valid_neighbor_count,geometry_invalid_neighbor_count
GA-no-connect,1,370.307262,615.57093,0,0,0,0,0,0,0,0,0,2880,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,1,370.307262,615.57093,0,0,0,3717,0,0,2107,0,0,5629,2627,279,2470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,1,370.307262,615.57093,0,0,0,3717,0,0,2107,0,0,5629,2627,279,2470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,2,509.402294,659.143023,0,0,0,0,0,0,0,0,0,2880,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,2,509.402294,659.143023,0,0,0,3777,0,0,2162,0,0,5704,2824,349,2475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,2,509.402294,659.143023,0,0,0,3777,0,0,2162,0,0,5704,2824,349,2475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,3,442.719785,669.727117,0,0,0,0,0,0,0,0,0,2880,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,3,442.719785,669.727117,0,0,0,3787,0,0,2195,0,0,5701,2165,418,2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,3,442.719785,669.727117,0,0,0,3787,0,0,2195,0,0,5701,2165,418,2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,4,472.746542,629.814597,0,0,0,0,0,0,0,0,0,2880,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,4,472.746542,629.814597,0,0,0,3719,0,0,2161,0,0,5656,2576,391,2385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,4,472.746542,629.814597,0,0,0,3719,0,0,2161,0,0,5656,2576,391,2385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,5,456.56884,659.955922,0,0,0,0,0,0,0,0,0,2880,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,5,456.56884,659.955922,0,0,0,3672,0,0,2104,0,0,5698,2600,402,2416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,5,456.56884,659.955922,0,0,0,3672,0,0,2104,0,0,5698,2600,402,2416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,6,398.850071,650.058621,0,0,0,0,0,0,0,0,0,2880,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,6,398.850071,650.058621,0,0,0,3740,0,0,2138,0,0,5629,2694,358,2391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,6,398.850071,650.058621,0,0,0,3740,0,0,2138,0,0,5629,2694,358,2391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,7,425.419639,631.158625,0,0,0,0,0,0,0,0,0,2880,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,7,425.419639,631.158625,0,0,0,3698,0,0,2082,0,0,5596,2729,357,2359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,7,425.419639,631.158625,0,0,0,3698,0,0,2082,0,0,5596,2729,357,2359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,8,409.973594,642.798636,0,0,0,0,0,0,0,0,0,2880,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,8,409.973594,642.798636,0,0,0,3791,0,0,2229,0,0,5707,2752,391,2436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,8,409.973594,642.798636,0,0,0,3791,0,0,2229,0,0,5707,2752,391,2436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,9,454.73885,626.266635,0,0,0,0,0,0,0,0,0,2880,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,9,454.73885,626.266635,0,0,0,3810,0,0,2249,0,0,5788,2782,419,2489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,9,454.73885,626.266635,0,0,0,3810,0,0,2249,0,0,5788,2782,419,2489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,10,506.239569,644.210572,0,0,0,0,0,0,0,0,0,2880,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,10,506.239569,644.210572,0,0,0,3637,0,0,2053,0,0,5551,2695,292,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,10,506.239569,644.210572,0,0,0,3637,0,0,2053,0,0,5551,2695,292,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,11,487.38942,634.697326,0,0,0,0,0,0,0,0,0,2880,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,11,487.38942,634.697326,0,0,0,3766,0,0,2162,0,0,5692,2753,310,2502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,11,487.38942,634.697326,0,0,0,3766,0,0,2162,0,0,5692,2753,310,2502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,12,406.876314,657.140582,0,0,0,0,0,0,0,0,0,2880,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,12,406.876314,657.140582,0,0,0,3756,0,0,2167,0,0,5656,2670,363,2413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,12,406.876314,657.140582,0,0,0,3756,0,0,2167,0,0,5656,2670,363,2413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
GA-no-connect,13,495.898178,671.338286,0,0,0,0,0,0,0,0,0,2880,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGA-no-connect,13,495.898178,671.338286,0,0,0,3735,0,0,2127,0,0,5659,2649,287,2492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
KG-IGAv5,13,495.898178,671.338286,0,0,0,3735,0,0,2127,0,0,5659,2649,287,2492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
